 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (72.30%))";"branches";"branches (M/sec                    (86.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (85.73%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (72.35%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (86.18%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;484806.0;0.017;28543165.0;1043.993;1.0;0.037;0.0;0.0;76108475.0;2.784;152194875.0;2.0;128.0;0.005;9607072.0;0.12619999999999998;18139800.0;0.23829999999999998;27.340373;0.993;0.027519932
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;457224.0;0.0161;28487022.0;1052.352;0.0;0.0;0.0;0.0;75360707.0;2.784;152515087.0;2.02;124.0;0.005;9112409.0;0.1209;18113852.0;0.2404;27.069853;0.993;0.027265763
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;520059.0;0.0182;28511348.0;1023.206;0.0;0.0;0.0;0.0;77580850.0;2.784;152229221.0;1.96;125.0;0.004;9785916.0;0.1261;18956117.0;0.2443;27.864712;0.994;0.028034042
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;435703.0;0.015300000000000001;28513109.0;1064.424;0.0;0.0;0.0;0.0;74592319.0;2.785;152116032.0;2.04;127.0;0.005;9064960.0;0.1215;15586296.0;0.209;26.787362;0.994;0.026952509
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;437092.0;0.015300000000000001;28497001.0;1045.094;0.0;0.0;0.0;0.0;75912625.0;2.784;152240974.0;2.01;124.0;0.005;8949427.0;0.11789999999999999;18488459.0;0.24350000000000002;27.267405;0.994;0.027434721
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;516457.0;0.0181;28517914.0;1018.5;0.0;0.0;0.0;0.0;77956699.0;2.784;152274779.0;1.95;128.0;0.005;9989366.0;0.1281;19499202.0;0.2501;27.999906;0.994;0.028165371
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;521863.0;0.0183;28491392.0;1026.041;0.0;0.0;0.0;0.0;77313971.0;2.784;152207532.0;1.97;123.0;0.004;9661759.0;0.125;18393808.0;0.2379;27.768269;0.993;0.027957736
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;464356.0;0.0163;28452341.0;1047.177;0.0;0.0;1.0;0.037;75645412.0;2.784;151853680.0;2.01;125.0;0.005;9636904.0;0.1274;18462685.0;0.2441;27.170522;0.994;0.027336168
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;515087.0;0.0181;28518082.0;1026.922;0.0;0.0;2.0;0.072;77321466.0;2.784;152138886.0;1.97;123.0;0.004;9527541.0;0.1232;18740524.0;0.24239999999999998;27.770436;0.994;0.027936939
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;482814.0;0.017;28451391.0;1043.067;0.0;0.0;0.0;0.0;75934896.0;2.784;151857439.0;2.0;126.0;0.005;9740832.0;0.1283;18491121.0;0.24350000000000002;27.276664;0.994;0.027442245
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;494203.0;0.0173;28530429.0;1035.362;0.0;0.0;1.0;0.036;76721860.0;2.784;152261311.0;1.98;128.0;0.005;9503075.0;0.12390000000000001;18089084.0;0.23579999999999998;27.556005;0.994;0.027715052
