 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;12060629.0;0.0176;686172523.0;633.138;51.0;0.047;8021.0;0.007;2607302527.0;2.406;2794726572.0;1.07;140.0;0.129;657344203.0;0.2521;1168362344.0;0.4481;1083.765301;1.071;1.012143546
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10283470.0;0.0151;680640945.0;660.159;53.0;0.051;8068.0;0.008;2562554650.0;2.485;2790739650.0;1.09;136.0;0.132;664015090.0;0.2591;1183672230.0;0.4619;1031.02609;1.073;0.960639713
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14328925.0;0.0199;721435705.0;701.328;55.0;0.053;8055.0;0.008;2755467961.0;2.679;3018157618.0;1.1;138.0;0.134;729693005.0;0.2648;1225747762.0;0.4448;1028.670539;1.069;0.962647954
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;9616482.0;0.014199999999999999;678749570.0;704.91;60.0;0.062;8044.0;0.008;2556578395.0;2.655;2804479151.0;1.1;136.0;0.141;651570593.0;0.25489999999999996;1166000110.0;0.4561;962.888922;1.076;0.895103277
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14650877.0;0.0202;726170002.0;707.56;58.0;0.057;8030.0;0.008;2753737982.0;2.683;2988564319.0;1.09;139.0;0.135;712984218.0;0.2589;1209464610.0;0.43920000000000003;1026.301954;1.07;0.959253371
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11068910.0;0.0161;688802197.0;692.645;48.0;0.048;8053.0;0.008;2590209871.0;2.605;2835321236.0;1.09;139.0;0.14;679046978.0;0.2622;1180070731.0;0.4556;994.45143;1.071;0.928893777
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10542691.0;0.0151;696510246.0;562.821;44.0;0.036;8055.0;0.007;2609154620.0;2.108;2860999213.0;1.1;139.0;0.112;669296572.0;0.2565;1183982825.0;0.45380000000000004;1237.533769;1.08;1.145632117
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10757886.0;0.015600000000000001;687742336.0;756.371;59.0;0.065;8006.0;0.009;2566363747.0;2.822;2810190917.0;1.1;137.0;0.151;648315930.0;0.2526;1163405427.0;0.4533;909.265513;1.072;0.848591003
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13304296.0;0.0184;721552537.0;651.387;48.0;0.043;8046.0;0.007;2739335344.0;2.473;2980714470.0;1.09;139.0;0.125;715720168.0;0.2613;1224535987.0;0.447;1107.716578;1.071;1.034189223
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;15652760.0;0.0216;724703119.0;651.878;35.0;0.031;8050.0;0.007;2784241049.0;2.504;3011499860.0;1.08;137.0;0.123;732446047.0;0.2631;1237709091.0;0.4445;1111.715625;1.07;1.038544337
